Sample 113: No. iterations = 3, Error = 0.000679739
Sample 114: No. iterations = 84, Error = 0.000637853
Sample 115: No. iterations = 19, Error = 0.000860092
Sample 116: No. iterations = 498, Error = 0.000970272
Sample 117: No. iterations = 512, Error = 0.00120098
Sample 118: No. iterations = 435, Error = 0.000868239
Sample 119: No. iterations = 314, Error = 0.000958227
Sample 120: No. iterations = 78, Error = 0.00076195
Sample 121: No. iterations = 132, Error = 0.000968389
Sample 122: No. iterations = 148, Error = 0.000388118
Sample 123: No. iterations = 248, Error = 0.000620068
Sample 124: No. iterations = 412, Error = 0.000635142
Sample 125: No. iterations = 141, Error = 0.000632466
Sample 126: No. iterations = 285, Error = 0.000795147
Sample 127: No. iterations = 270, Error = 0.00054605
Sample 128: No. iterations = 490, Error = 0.000938955
Sample 129: No. iterations = 120, Error = 0.00090605
Sample 130: No. iterations = 244, Error = 0.000959618
Sample 131: No. iterations = 310, Error = 0.000807108
Sample 132: No. iterations = 246, Error = 0.000707144
Sample 133: No. iterations = 512, Error = 0.484622
Sample 134: No. iterations = 325, Error = 0.000762985
Sample 135: No. iterations = 512, Error = 0.503349
Sample 136: No. iterations = 232, Error = 0.000573144
Sample 137: No. iterations = 27, Error = 0.000805055
Sample 138: No. iterations = 239, Error = 0.000471796
Sample 139: No. iterations = 512, Error = 0.528876
Sample 140: No. iterations = 38, Error = 0.000964817
Sample 141: No. iterations = 462, Error = 0.000579335
Sample 142: No. iterations = 263, Error = 0.000949532
Sample 143: No. iterations = 418, Error = 0.000912744
Sample 144: No. iterations = 424, Error = 0.000686563
Sample 145: No. iterations = 367, Error = 0.000952159
Sample 146: No. iterations = 449, Error = 0.000883353
Sample 147: No. iterations = 212, Error = 0.000552776
Sample 148: No. iterations = 162, Error = 0.000675453
Sample 149: No. iterations = 368, Error = 0.000702422
Sample 150: No. iterations = 288, Error = 0.000598937
Sample 151: No. iterations = 221, Error = 0.000914357
Sample 152: No. iterations = 87, Error = 0.000887966
Sample 153: No. iterations = 274, Error = 0.000884096
Sample 154: No. iterations = 237, Error = 0.000828211
Sample 155: No. iterations = 360, Error = 0.000952034
Sample 156: No. iterations = 224, Error = 0.000809809
Sample 157: No. iterations = 126, Error = 0.000990317
Sample 158: No. iterations = 171, Error = 0.000778031
Sample 159: No. iterations = 453, Error = 0.000951363
Sample 160: No. iterations = 340, Error = 0.000757429
Sample 161: No. iterations = 512, Error = 0.003304
Sample 162: No. iterations = 244, Error = 0.000811604
Sample 163: No. iterations = 405, Error = 0.000803531
Sample 164: No. iterations = 337, Error = 0.000657654
Sample 165: No. iterations = 111, Error = 0.00043236
Sample 166: No. iterations = 18, Error = 0.000799361
Sample 167: No. iterations = 211, Error = 0.000636267
Sample 168: No. iterations = 177, Error = 0.000746615
Sample 169: No. iterations = 371, Error = 0.000648536
Sample 170: No. iterations = 215, Error = 0.000579491
Sample 171: No. iterations = 246, Error = 0.000579276
Sample 172: No. iterations = 51, Error = 0.000704756
Sample 173: No. iterations = 207, Error = 0.000997778
Sample 174: No. iterations = 389, Error = 0.000538539
Sample 175: No. iterations = 315, Error = 0.000770895
Sample 176: No. iterations = 229, Error = 0.000689758
Sample 177: No. iterations = 14, Error = 0.000853082
Sample 178: No. iterations = 212, Error = 0.000427832
Sample 179: No. iterations = 354, Error = 0.000829732
Sample 180: No. iterations = 97, Error = 0.00074311
Sample 181: No. iterations = 173, Error = 0.000350365
Sample 182: No. iterations = 192, Error = 0.000619747
Sample 183: No. iterations = 512, Error = 0.493572
Sample 184: No. iterations = 20, Error = 0.000735984
Sample 185: No. iterations = 164, Error = 0.000980916
Sample 186: No. iterations = 85, Error = 0.000842888
Sample 187: No. iterations = 131, Error = 0.000580718
Sample 188: No. iterations = 186, Error = 0.000704507
Sample 189: No. iterations = 255, Error = 0.000765394
Sample 190: No. iterations = 241, Error = 0.000852289
Sample 191: No. iterations = 143, Error = 0.000400791
Sample 192: No. iterations = 127, Error = 0.000765082
Sample 193: No. iterations = 257, Error = 0.000867618
Sample 194: No. iterations = 307, Error = 0.000741328
Sample 195: No. iterations = 270, Error = 0.000635471
Sample 196: No. iterations = 159, Error = 0.000516659
Sample 197: No. iterations = 132, Error = 0.000823709
Sample 198: No. iterations = 278, Error = 0.000698765
Sample 199: No. iterations = 112, Error = 0.000621821
Sample 200: No. iterations = 253, Error = 0.00076562
Sample 201: No. iterations = 322, Error = 0.00089137
Sample 202: No. iterations = 332, Error = 0.000353424
Sample 203: No. iterations = 226, Error = 0.000788315
Sample 204: No. iterations = 159, Error = 0.00057741
Sample 205: No. iterations = 159, Error = 0.000894602
Sample 206: No. iterations = 207, Error = 0.000693237
Sample 207: No. iterations = 93, Error = 0.000676905
Sample 208: No. iterations = 238, Error = 0.000953348
Sample 209: No. iterations = 16, Error = 0.000864093
Sample 210: No. iterations = 66, Error = 0.000608786
Sample 211: No. iterations = 173, Error = 0.000753416
Sample 212: No. iterations = 3, Error = 0.000623982
Sample 213: No. iterations = 323, Error = 0.000675504
Sample 214: No. iterations = 96, Error = 0.000382508
Sample 215: No. iterations = 54, Error = 0.00081381
Sample 216: No. iterations = 43, Error = 0.000760626
Sample 217: No. iterations = 191, Error = 0.000358008
Sample 218: No. iterations = 193, Error = 0.000905014
Sample 219: No. iterations = 125, Error = 0.000969162
Sample 220: No. iterations = 512, Error = 0.0652203
Sample 221: No. iterations = 87, Error = 0.000890283
Sample 222: No. iterations = 164, Error = 0.000864986
Sample 223: No. iterations = 151, Error = 0.00092475
Sample 224: No. iterations = 115, Error = 0.000959124
Sample 225: No. iterations = 512, Error = 0.500509
Sample 226: No. iterations = 301, Error = 0.000706583
Sample 227: No. iterations = 216, Error = 0.000342212
Sample 228: No. iterations = 151, Error = 0.000976858
Sample 229: No. iterations = 307, Error = 0.000455216
Sample 230: No. iterations = 19, Error = 0.000884334
Sample 231: No. iterations = 116, Error = 0.000800047
Sample 232: No. iterations = 2, Error = 0.000569218
Sample 233: No. iterations = 382, Error = 0.000431002
Sample 234: No. iterations = 184, Error = 0.000935447
Sample 235: No. iterations = 4, Error = 0.000318958
Sample 236: No. iterations = 104, Error = 0.000582962
Sample 237: No. iterations = 256, Error = 0.00089491
Sample 238: No. iterations = 73, Error = 0.000644968
Sample 239: No. iterations = 239, Error = 0.000525756
Sample 240: No. iterations = 144, Error = 0.000903495
Sample 241: No. iterations = 323, Error = 0.000253898
Sample 242: No. iterations = 193, Error = 0.00098775
Sample 243: No. iterations = 117, Error = 0.000849067
Sample 244: No. iterations = 26, Error = 0.00082711
Sample 245: No. iterations = 247, Error = 0.000658735
Sample 246: No. iterations = 274, Error = 0.000861289
Sample 247: No. iterations = 209, Error = 0.000452432
Sample 248: No. iterations = 115, Error = 0.000885297
Sample 249: No. iterations = 161, Error = 0.000847523
Sample 250: No. iterations = 32, Error = 0.000629998
Sample 251: No. iterations = 163, Error = 0.000683207
Sample 252: No. iterations = 159, Error = 0.000872664
Sample 253: No. iterations = 152, Error = 0.000808027
Sample 254: No. iterations = 164, Error = 0.000546264
Sample 255: No. iterations = 130, Error = 0.000543631
Sample 256: No. iterations = 31, Error = 0.000505003
Sample 257: No. iterations = 385, Error = 0.000591929
Sample 258: No. iterations = 162, Error = 0.000793382
Sample 259: No. iterations = 126, Error = 0.00095983
Sample 260: No. iterations = 133, Error = 0.000878886
Sample 261: No. iterations = 178, Error = 0.000805501
Sample 262: No. iterations = 10, Error = 0.000371077
Sample 263: No. iterations = 115, Error = 0.000380792
Sample 264: No. iterations = 47, Error = 0.000396626
Sample 265: No. iterations = 248, Error = 0.000419566
Sample 266: No. iterations = 177, Error = 0.000927808
Sample 267: No. iterations = 339, Error = 0.000653377
Sample 268: No. iterations = 121, Error = 0.000655009
Sample 269: No. iterations = 204, Error = 0.000997144
Sample 270: No. iterations = 215, Error = 0.000985431
Sample 271: No. iterations = 114, Error = 0.000468296
Sample 272: No. iterations = 159, Error = 0.000964044
Sample 273: No. iterations = 98, Error = 0.000855844
Sample 274: No. iterations = 61, Error = 0.000874655
Sample 275: No. iterations = 223, Error = 0.000852566
Sample 276: No. iterations = 90, Error = 0.00088423
Sample 277: No. iterations = 9, Error = 0.000846454
Sample 278: No. iterations = 98, Error = 0.000381032
Sample 279: No. iterations = 366, Error = 0.000339151
Sample 280: No. iterations = 185, Error = 0.000716258
Sample 281: No. iterations = 169, Error = 0.000961777
Sample 282: No. iterations = 62, Error = 0.000614844
Sample 283: No. iterations = 202, Error = 0.000879706
Sample 284: No. iterations = 36, Error = 0.000515861
Sample 285: No. iterations = 130, Error = 0.000612587
Sample 286: No. iterations = 47, Error = 0.00087047
Sample 287: No. iterations = 92, Error = 0.000855472
Sample 288: No. iterations = 8, Error = 0.00080254
Sample 289: No. iterations = 179, Error = 0.000845633
Sample 290: No. iterations = 110, Error = 0.000822715
Sample 291: No. iterations = 8, Error = 0.000482388
Sample 292: No. iterations = 101, Error = 0.00081059
Sample 293: No. iterations = 227, Error = 0.000807267
Sample 294: No. iterations = 72, Error = 0.000479336
Sample 295: No. iterations = 1, Error = 0.000116411
Sample 296: No. iterations = 149, Error = 0.000799197
Sample 297: No. iterations = 85, Error = 0.00097799
Sample 298: No. iterations = 2, Error = 0.000404957
Sample 299: No. iterations = 2, Error = 9.58674e-05
Sample 300: No. iterations = 97, Error = 0.000471204
Sample 301: No. iterations = 137, Error = 0.000784308
Sample 302: No. iterations = 50, Error = 0.000859182
Sample 303: No. iterations = 60, Error = 0.000832275
Sample 304: No. iterations = 16, Error = 0.000687058
Sample 305: No. iterations = 208, Error = 0.000933469
Sample 306: No. iterations = 94, Error = 0.000782779
Sample 307: No. iterations = 210, Error = 0.000290473
Sample 308: No. iterations = 99, Error = 0.000921952
Sample 309: No. iterations = 169, Error = 0.000910617
Sample 310: No. iterations = 158, Error = 0.000872334
Sample 311: No. iterations = 1, Error = 0.000906192
Sample 312: No. iterations = 106, Error = 0.000599259
Sample 313: No. iterations = 132, Error = 0.000613845
Sample 314: No. iterations = 185, Error = 0.000898567
Sample 315: No. iterations = 165, Error = 0.000977176
Sample 316: No. iterations = 32, Error = 0.000830455
Sample 317: No. iterations = 152, Error = 0.00095844
Sample 318: No. iterations = 180, Error = 0.000649965
Sample 319: No. iterations = 165, Error = 0.000386909
Sample 320: No. iterations = 103, Error = 0.000836312
Sample 321: No. iterations = 125, Error = 0.000567851
Sample 322: No. iterations = 60, Error = 0.000525433
Sample 323: No. iterations = 109, Error = 0.000395561
Sample 324: No. iterations = 111, Error = 0.000812085
Sample 325: No. iterations = 168, Error = 0.000685656
Sample 326: No. iterations = 53, Error = 0.0001236
Sample 327: No. iterations = 25, Error = 0.000623028
Sample 328: No. iterations = 47, Error = 0.000924722
Sample 329: No. iterations = 145, Error = 0.000528021
Sample 330: No. iterations = 149, Error = 0.000802969
Sample 331: No. iterations = 95, Error = 0.000417511
Sample 332: No. iterations = 55, Error = 0.000950562
Sample 333: No. iterations = 64, Error = 0.000785293
Sample 334: No. iterations = 173, Error = 0.000949044
Sample 335: No. iterations = 165, Error = 0.000753162
Sample 336: No. iterations = 58, Error = 0.000605339
Sample 337: No. iterations = 167, Error = 0.000431088
Sample 338: No. iterations = 21, Error = 0.000653439
Sample 339: No. iterations = 2, Error = 0.00047915
Sample 340: No. iterations = 150, Error = 0.000744572
Sample 341: No. iterations = 308, Error = 0.000983653
Sample 342: No. iterations = 45, Error = 0.000700464
Sample 343: No. iterations = 212, Error = 0.000852885
Sample 344: No. iterations = 59, Error = 0.000941292
Sample 345: No. iterations = 122, Error = 0.000353835
Sample 346: No. iterations = 71, Error = 0.000807833
Sample 347: No. iterations = 257, Error = 0.000925877
Sample 348: No. iterations = 101, Error = 0.000886738
Sample 349: No. iterations = 147, Error = 0.000947444
Sample 350: No. iterations = 79, Error = 0.000696692
Sample 351: No. iterations = 64, Error = 0.000664653
Sample 352: No. iterations = 82, Error = 0.000366372
Sample 353: No. iterations = 134, Error = 0.000521626
Sample 354: No. iterations = 119, Error = 0.000895669
Sample 355: No. iterations = 232, Error = 0.000878089
Sample 356: No. iterations = 165, Error = 0.000697601
Sample 357: No. iterations = 104, Error = 0.00034161
Sample 358: No. iterations = 5, Error = 0.000912792
Sample 359: No. iterations = 9, Error = 0.000623589
Sample 360: No. iterations = 70, Error = 0.000912141
Sample 361: No. iterations = 75, Error = 0.000649108
Sample 362: No. iterations = 82, Error = 0.000339224
Sample 363: No. iterations = 91, Error = 0.000673491
Sample 364: No. iterations = 2, Error = 0.000728888
Sample 365: No. iterations = 97, Error = 0.000568896
Sample 366: No. iterations = 34, Error = 0.000603891
Sample 367: No. iterations = 8, Error = 0.000942497
Sample 368: No. iterations = 122, Error = 0.000572545
Sample 369: No. iterations = 179, Error = 0.000679123
Sample 370: No. iterations = 42, Error = 0.000286053
Sample 371: No. iterations = 164, Error = 0.00029878
Sample 372: No. iterations = 17, Error = 0.000815974
Sample 373: No. iterations = 128, Error = 0.000781114
Sample 374: No. iterations = 1, Error = 0.000712162
Sample 375: No. iterations = 102, Error = 0.000684102
Sample 376: No. iterations = 90, Error = 0.000657227
Sample 377: No. iterations = 195, Error = 0.00077737
Sample 378: No. iterations = 47, Error = 0.000249783
Sample 379: No. iterations = 4, Error = 0.000968577
Sample 380: No. iterations = 1, Error = 0.000653918
Sample 381: No. iterations = 99, Error = 0.000942516
Sample 382: No. iterations = 64, Error = 0.000663078
Sample 383: No. iterations = 99, Error = 0.000985639
Sample 384: No. iterations = 39, Error = 0.000539671
Sample 385: No. iterations = 147, Error = 0.000705288
Sample 386: No. iterations = 75, Error = 0.000372357
Sample 387: No. iterations = 167, Error = 0.000585267
Sample 388: No. iterations = 3, Error = 0.000997415
Sample 389: No. iterations = 89, Error = 0.000542367
Sample 390: No. iterations = 155, Error = 0.000491996
Sample 391: No. iterations = 158, Error = 0.000719678
Sample 392: No. iterations = 3, Error = 0.000308345
Sample 393: No. iterations = 142, Error = 0.000958814
Sample 394: No. iterations = 107, Error = 0.000532976
Sample 395: No. iterations = 235, Error = 0.000768278
Sample 396: No. iterations = 44, Error = 0.000460112
Sample 397: No. iterations = 161, Error = 0.000669081
Sample 398: No. iterations = 42, Error = 0.000302187
Sample 399: No. iterations = 7, Error = 0.000750401
Sample 400: No. iterations = 134, Error = 0.000504201
Sample 401: No. iterations = 56, Error = 0.000985851
Sample 402: No. iterations = 7, Error = 0.000942571
Sample 403: No. iterations = 46, Error = 0.000878249
Sample 404: No. iterations = 74, Error = 0.000534429
Sample 405: No. iterations = 279, Error = 0.000200569
Sample 406: No. iterations = 69, Error = 8.85335e-05
Sample 407: No. iterations = 16, Error = 0.000661279
Sample 408: No. iterations = 80, Error = 0.00084286
Sample 409: No. iterations = 4, Error = 0.000915284
Sample 410: No. iterations = 97, Error = 0.000798284
Sample 411: No. iterations = 86, Error = 0.000980742
Sample 412: No. iterations = 51, Error = 0.00061398
